Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000000	RNA-directed DNA polymerase  (44)	Retrovirus-related Pol polyprotein from transposon 17.6-like protein (4)	Reverse transcriptase domain-containing protein (2)	Integrase catalytic domain-containing protein (2)	Pol polyprotein-like protein (2)	Transposon Ty3-I Gag-Pol polyprotein (1)	Peptidase A2 domain-containing protein (1)	Integrase zinc-binding domain-containing protein (1)	Transposon Ty3-G Gag-Pol polyprotein-like protein (1)	Tick transposon (1)
OG0000001	Zinc finger protein-like (11)	C2H2-type domain-containing protein (8)	Zinc finger protein, putative (3)	Zinc finger domain-containing protein (2)	Zinc finger, C2H2 type, putative (2)	Krueppel factor 15-like (1)	Transcriptional repressor CTCFL-like isoform X2 (1)	Protein glass-like protein (1)	Zinc finger protein 252-like isoform X1 (1)	Zinc finger protein, putative (Zinc finger protein, putative (Fragment)) (1)
OG0000002	ABC transporter, putative  (16)	Multidrug resistance protein, putative  (9)	Multidrug resistance-associated protein 1 (8)	ABC transmembrane type-1 domain-containing protein (6)	ABC transporter domain-containing protein (3)	Canalicular multispecific organic anion transporter 1-like (2)	Multidrug resistance-associated protein 1-like protein (2)	Multidrug resistance-associated protein 4-like protein (2)	Putative multidrug resistance-associated protein lethal(2)03659-like protein (2)	Canalicular multispecific organic anion transporter 2 (1)
OG0000003	Sulfotransferase, putative  (5)	Sulfotransferase domain-containing protein (2)	Amine sulfotransferase-like protein (1)	Sulfotransferase 1C2-like protein (1)	Sulfotransferase 1C2A-like protein (1)					
OG0000004	Down syndrome cell adhesion molecule-like protein Dscam2 (14)	Down syndrome cell adhesion molecule (6)	Fibronectin type-III domain-containing protein (5)	Down syndrome cell adhesion molecule-like (4)	Cell adhesion molecule-like protein (4)	Down syndrome cell adhesion molecule protein Dscam2-like (2)	Ig-like domain-containing protein (2)	Down syndrome cell adhesion molecule-like protein 1 (2)	MDscam8 (1)	Down syndrome cell adhesion molecule -like protein (1)
OG0000005	Homeobox domain-containing protein (95)	Homeobox protein engrailed-like (8)	Homeobox protein, putative  (5)	Fushi tarazu, putative  (2)	Homeobox protein NK-2, putative  (2)	Nk homeobox protein, putative (2)	Homeobox protein Hox-B1-like (1)	Homeobox protein Nkx-2.2-like (1)	Homeobox protein Hox-B5-like (1)	NK1 transcription factor-related protein 1 (1)
OG0000006	Carboxylic ester hydrolase  (83)	acetylcholinesterase  (18)	Carboxylesterase type B domain-containing protein (3)	Acetylcholinesterase-like (1)	Acetylcholinesterase-2-like protein (1)					
OG0000007	Peptidase S1 domain-containing protein (22)	CLIP domain-containing serine protease  (11)	Clotting factor B-like protein (3)	Ovochymase, putative  (3)	Serine protease, putative  (2)	Mast cell protease 2-like protein (1)	Cocoonase-like protein (1)	Serine proteinase stubble-like (1)	Transmembrane protease serine 9-like (1)	CLIP domain-containing serine protease (1)
OG0000008	Tigger transposable element-derived protein 6-like protein (2)	HTH psq-type domain-containing protein (1)								
OG0000009	Elongation of very long chain fatty acids protein  (196)									
