X1,X2,leiden_cluster_id,infomap_cluster_id,walktrap6_cluster_id,walktrap4_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000017,-2.01055481034983,-4.5458021445194,1,1,190,48,1122,Serpin domain-containing protein,GO:0004867; GO:0005615; GO:0010466 (491),GO:0004674; GO:0004867; GO:0005615; GO:0010466 (263)
OG0000018,-1.17249097425212,0.0965381579479498,2,2,11,326,1123,Cuticle protein, putative,GO:0008010; GO:0062129 (578),GO:0042302 (170)
OG0000019,-4.03615047532786,-1.13721182774694,2,3,90,22,1124,ABC transporter domain-containing protein,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (294),GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359 (291)
OG0000023,-3.56840302545298,4.29231283236354,2,4,90,22,1125,Cytochrome P450, putative,GO:0005506; GO:0020037; GO:0070330 (213),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (141)
OG0000025,-3.88956834871043,-0.353419451228686,2,5,81,212,1126,Organic cation transporter protein-like protein,GO:0016020; GO:0022857 (604),GO:0016020 (78)
OG0000026,-2.29040100175608,-0.743008641711779,2,2,2,650,1127,Neurotransmitter-gated ion-channel-like protein,GO:0004888; GO:0005230; GO:0005254; GO:0005886 (140),GO:0004888; GO:0005254; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (137)
OG0000027,-4.48142435151805,-1.44246318768651,2,6,177,73,1128,Arylsulfatase B, putative,GO:0003943 (403),GO:0003943; GO:0016020 (188)
OG0000028,-6.32483198243846,2.20067081023066,3,7,313,6,1129,Transporter,GO:0015293; GO:0016020 (355),GO:0015187; GO:0015293; GO:0016020; GO:0035725 (127)
OG0000029,-2.63399459916819,5.30126950312465,4,8,420,889,1130,Monocarboxylate transporter, putative,GO:0008028; GO:0016020 (414),GO:0016020 (186)
OG0000030,-3.28202988702525,-0.751876859180041,2,9,90,22,1131,Excitatory amino acid transporter, putative,GO:0004970; GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (245),GO:0004970; GO:0045211 (205)
OG0000031,-3.98249580461253,-1.28869059514195,2,10,90,340,1132,Nose resistant-to-fluoxetine protein N-terminal domain-containing protein,GO:0016020; GO:0016747 (564),GO:0016020 (74)
OG0000032,-2.46472456056346,0.0810074524959845,2,11,11,470,1133,Aryl-alcohol oxidase, putative,GO:0016614; GO:0050660 (318),GO:0016491; GO:0016614; GO:0050660 (293)
OG0000034,3.81779978674184,-1.99366405438573,5,12,401,890,1134,Acid methyltransferase, putative,GO:0004395; GO:0005739; GO:0006744; GO:0032259 (538),GO:0003824 (65)
OG0000036,-1.94210292894114,5.65726277399867,6,13,376,891,1135,Nose resistant to fluoxetine protein 6-like,GO:0016020; GO:0016747 (575),GO:0016020 (11)
OG0000037,2.38933179777395,-0.898186592570849,5,14,32,288,1136,THAP-type domain-containing protein,GO:0043565 (581),NA
OG0000039,-4.49282266694773,-1.70888498257787,2,6,194,198,1137,Tissue factor pathway inhibitor 2-like isoform X4,GO:0004867; GO:0010466; GO:0044562 (489),GO:0004867; GO:0005576; GO:0010466; GO:0030198; GO:0044562; GO:0090729 (34)
OG0000040,-3.18676044542063,-1.00850656460912,2,15,90,22,1138,Peptidase M12B domain-containing protein,GO:0004222; GO:0006508; GO:0046872 (470),GO:0004222; GO:0006509; GO:0046872 (91)
OG0000041,4.39497659605276,-2.79577901791722,7,16,332,119,1139,Fatty acid synthase, putative,GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0031177; GO:0047117 (212),GO:0004315; GO:0006633 (128)
OG0000042,-3.23178865510691,-1.27577212285192,2,9,90,823,1140,Phosphatidylinositol transfer protein SEC14, putative,GO:0004252; GO:1902936 (479),GO:1902936 (60)
OG0000043,-2.79664637643565,-4.38041594456822,1,1,190,48,1141,Lipase,GO:0006629; GO:0016788 (328),GO:0006629; GO:0016020; GO:0016788 (97)
OG0000044,-3.42298938829173,-0.920938877574511,2,4,90,448,1142,Short-chain dehydrogenase-like protein,GO:0016491 (472),GO:0016020 (46)
OG0000045,-1.65479721624125,-0.325702814570971,2,2,80,892,1143,Homeobox domain-containing protein,GO:0000981; GO:0003677; GO:0005634 (371),GO:0003677; GO:0005634 (57)
OG0000046,-3.77058674890269,-0.816421656123705,2,3,90,881,1144,Protein kinase C,GO:0004674; GO:0005524; GO:0006468 (156),GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (68)
OG0000047,-3.66112305719126,-1.68941905926854,2,17,90,823,1145,Cytochrome P450, putative,GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (247),GO:0004497; GO:0005506; GO:0016705; GO:0020037 (128)
OG0000048,-3.80746295053233,-1.3017561716953,2,9,90,22,1146,Peroxidase,GO:0004601; GO:0006979; GO:0020037; GO:0046872 (293),GO:0004601; GO:0006979; GO:0020037; GO:0046872; GO:0140825 (167)
OG0000049,-2.95311405259837,-0.125283746234484,2,18,90,22,1147,Retinol dehydrogenase 11,GO:0016020 (399),GO:0016020; GO:0016630 (98)
OG0000050,-1.12037565309275,-0.786787299624987,2,19,197,189,1148,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (315),GO:0006820; GO:0016020; GO:0022857 (80)
OG0000051,-2.61584236222971,-0.871287731639453,2,19,90,22,1149,Chitinase, putative,GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (438),GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0016020 (29)
OG0000052,7.79066226881277,-2.71005824040563,8,20,554,893,1150,None,None,NA
OG0000053,-2.84551693994273,1.34053418207972,2,21,11,255,1151,Hexosyltransferase,GO:0000139; GO:0006493; GO:0016020; GO:0016758 (321),GO:0000139; GO:0006486; GO:0016758 (110)
OG0000055,-1.98158695298899,-1.25182536076695,2,22,2,171,1152,Putative serine carboxypeptidase CPVL-like protein,GO:0004185; GO:0006508 (447),GO:0004185; GO:0006508; GO:0016020 (15)
OG0000056,-0.226883878295313,-1.00181367825658,2,23,367,894,1153,Tc1-like transposase DDE domain-containing protein,GO:0003676 (462),NA
OG0000057,3.56018422048818,-1.13160994481237,9,24,160,895,1154,None,None,NA
OG0000058,-3.99191858369578,-1.67292597722203,2,11,90,896,1155,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0004867; GO:0010466 (405),GO:0004867; GO:0010466; GO:0016020 (52)
OG0000059,-2.08114769059886,-0.00948825310856871,2,25,2,8,1156,Ig-like domain-containing protein,GO:0016020 (456),NA
OG0000060,1.32089529436361,-1.01134493779332,10,26,50,227,1157,Slit1 protein-like,None,NA
OG0000061,4.52747962873708,-0.453089980594225,5,27,133,897,1158,None,None,NA
OG0000062,-4.45533611375559,-1.56946948002965,2,6,177,73,1159,Sodium-coupled monocarboxylate transporter 1,GO:0016020; GO:0022857 (410),GO:0005840; GO:0016020; GO:0022857; GO:1990904 (31)
OG0000063,-4.65293266374339,-1.59171679448278,2,28,90,263,1160,Kinesin-like protein,GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (142),GO:0003777; GO:0005524; GO:0007018; GO:0008017; GO:0015630 (126)
OG0000064,-2.12114240724314,-0.734512714854785,2,2,2,898,1161,Fork-head domain-containing protein,GO:0003700; GO:0005634; GO:0043565 (275),GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154 (42)
OG0000065,7.75934551161062,-2.76911738347203,10,29,4,899,1162,None,None,NA
OG0000067,1.04898611706029,0.73718112874835,5,30,158,592,1163,Cadherin domain-containing protein,GO:0005509; GO:0005886; GO:0007156 (229),GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0098609 (63)
OG0000068,1.84934482973348,-3.57257464360387,11,31,173,900,1164,Ionotropic glutamate receptor C-terminal domain-containing protein,GO:0015276; GO:0016020 (244),GO:0004970; GO:0005886 (109)
OG0000069,-3.64779378968943,-0.533897547236987,2,18,201,184,1165,Heat shock protein, putative,GO:0005524; GO:0140662 (95),GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (94)
OG0000070,-3.80390812951792,-1.23331263493688,2,9,90,22,1166,glutathione transferase,GO:0004364 (395),GO:0004364; GO:0042802 (18)
OG0000071,2.44561598699819,7.10195586253016,12,32,555,901,1167,Histone-lysine N-methyltransferase SETMAR,GO:0003676; GO:0008168; GO:0032259 (409),GO:0003676 (3)
OG0000073,-2.36342837411631,-0.688537864200182,2,11,2,158,1168,Dehydrogenase, putative,GO:0004745; GO:0008202; GO:0016020; GO:0016491; GO:0043231 (175),GO:0016491 (130)
OG0000074,-3.53590442735423,-0.706654338351794,2,3,90,881,1169,Myosin motor domain-containing protein,GO:0000146; GO:0005524; GO:0005737; GO:0005886; GO:0005902; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (86),GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (68)
OG0000075,-1.88108040887583,-0.247313408366747,2,2,80,902,1170,G-protein coupled receptors family 1 profile domain-containing protein,GO:0004715; GO:0004993; GO:0007187; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0045202 (98),GO:0004930; GO:0016020 (92)
OG0000077,-4.32702781755198,-5.2614422125736,2,33,216,679,1171,ABC transporter, putative,GO:0005524; GO:0005886; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (165),GO:0005524; GO:0016020; GO:0016887; GO:0140359 (141)
OG0000078,-0.625989397351633,-2.13772943448217,2,34,11,520,1172,Glutathione S-transferase 1: isoform D-like protein,GO:0016740 (359),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (38)
OG0000079,4.6165804664446,-1.92395761441381,5,35,47,903,1173,Pogo transposable element with KRAB domain-like protein,None,NA
OG0000080,4.07124874990713,-1.48463037442357,13,36,556,904,1174,Beta-ketoacyl-ACP reductase, putative,GO:0004316 (274),GO:0016491 (86)
OG0000081,-3.20493938523997,-0.732924012652941,2,18,90,22,956,Polypeptide N-acetylgalactosaminyltransferase,GO:0000139; GO:0006486; GO:0016757; GO:0030246 (149),GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246 (131)
OG0000082,-5.3794322212385,-0.178667692653246,5,37,171,905,1175,Endonuclease/exonuclease/phosphatase domain-containing protein,GO:0003824 (389),NA
OG0000083,-2.03929140168894,-0.919881491176196,2,2,2,326,1176,Guanylate cyclase,GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556 (50),GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0016020; GO:0035556 (45)
OG0000084,-1.98542596894969,-0.353423265925952,2,11,2,906,1177,Caspase family p20 domain-containing protein,GO:0004197; GO:0006508; GO:0016020; GO:0022857 (159),GO:0008643; GO:0016020 (92)
OG0000085,-5.0746832092451,5.19337365198939,14,38,182,907,1178,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0005886; GO:0007155; GO:0007411 (303),GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (77)
OG0000086,-3.73554803926219,-1.21519735287816,2,9,90,22,1179,Neuronal acetylcholine receptor subunit alpha-7-like,GO:0004888; GO:0022848; GO:0045211 (202),GO:0004888; GO:0022848; GO:0043005; GO:0045202; GO:0045211 (96)
OG0000087,-0.420191188638101,-2.76863005589635,2,39,322,187,1180,Solute carrier organic anion transporter family member,GO:0005886; GO:0006811; GO:0055085 (154),GO:0005886; GO:0006811; GO:0015347; GO:0043252 (99)
OG0000089,-2.65186264116038,-1.45639970730931,2,4,90,448,1181,Sulfatase N-terminal domain-containing protein,GO:0016020 (371),NA
OG0000091,-5.09978773195017,-2.09631970357091,2,40,88,85,1182,EGF-like domain-containing protein,GO:0006897; GO:0016020 (135),GO:0005509; GO:0006897; GO:0016020 (127)
OG0000092,-1.61156942445506,3.62911674547999,2,41,53,31,1183,Der-p2-like allergen,GO:0015918; GO:0032934 (290),GO:0005576; GO:0015918; GO:0032367; GO:0032934 (51)
OG0000093,-5.14277269441355,-3.66360428761632,2,42,231,667,1184,Pyruvate phosphate dikinase AMP/ATP-binding domain-containing protein,GO:0005524; GO:0016301; GO:0016310 (167),GO:0016310; GO:0016772 (142)
OG0000094,-6.43834688264598,2.41758617926448,3,7,313,6,1185,Tyrosine-protein kinase,GO:0002009; GO:0004715; GO:0005524; GO:0006468; GO:0009887; GO:0048468; GO:0065008 (93),GO:0002009; GO:0004715; GO:0005524; GO:0005576; GO:0005886; GO:0006468; GO:0006887; GO:0044218; GO:0044231; GO:0065008; GO:0090729 (55)
OG0000095,1.95696828764211,2.39234337378352,15,43,2,40,1186,Cuticle protein 16.8-like,GO:0042302 (353),NA
OG0000096,-2.12534906465281,-0.261270789615222,2,2,557,908,1187,Transcription factor, putative,GO:0003700; GO:0005634; GO:0007423; GO:0045944; GO:0046983; GO:0048663; GO:0061564; GO:0070888 (250),GO:0046983 (75)
OG0000097,-3.51269032556284,0.251475663669996,2,44,11,263,1188,Fucosyltransferase,GO:0006486; GO:0008417; GO:0032580; GO:0036065 (135),GO:0006486; GO:0017060; GO:0032580; GO:0036065; GO:0046920 (102)
OG0000098,0.988833824808707,3.44378706980555,9,24,558,909,1189,None,None,NA
OG0000099,-2.98185946542491,-0.361202625743456,2,45,90,22,1190,Innexin,GO:0005886; GO:0005921; GO:0006811 (179),GO:0005243; GO:0005886; GO:0005921; GO:0006811; GO:0007602 (116)
OG0000100,-4.32390596467723,-1.28457405995519,2,28,90,263,1191,dolichyl-phosphate-mannose--protein mannosyltransferase,GO:0004169; GO:0005783; GO:0016020 (239),GO:0000030; GO:0004169; GO:0005789; GO:0035269 (28)
OG0000101,2.67305968206655,8.72689244318812,16,46,189,411,1192,Epithelial chloride channel protein-like protein,GO:0016020 (190),GO:0005576; GO:0016298 (152)
OG0000102,-3.64722468454112,-0.0815042538562494,2,47,11,22,1193,Cathepsin L,GO:0006508; GO:0008234 (321),GO:0004197; GO:0005615; GO:0006955; GO:0008656; GO:0010952; GO:0051603; GO:2001235 (18)
OG0000103,-3.85037567216624,-1.03996589612157,2,9,90,22,110,Retinal dehydrogenase 1-like,GO:0016620 (225),GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620; GO:0016742 (88)
OG0000104,2.84911249082815,-1.79197147320897,5,48,498,910,1194,RNA-directed DNA polymerase,GO:0003676; GO:0015074 (335),NA
OG0000105,0.418140436227431,-1.3789615912357,7,23,216,911,1195,CCHC-type domain-containing protein,GO:0003676; GO:0004190; GO:0006508; GO:0008270 (279),GO:0003676; GO:0008270 (55)
OG0000106,-6.52128793794383,2.23711380530208,3,7,313,6,65,RNA helicase,GO:0004386; GO:0005524; GO:0016787 (72),GO:0003676; GO:0004386; GO:0005524; GO:0016787 (68)
OG0000107,-3.70380093652476,1.17371717263072,2,47,11,255,1196,Fatty acyl-CoA reductase,GO:0005777; GO:0035336; GO:0080019; GO:0102965 (130),GO:0080019; GO:0102965; GO:1901568 (79)
