X1,X2,leiden_cluster_id,walktrap6_cluster_id,infomap_cluster_id,walktrap4_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000017,2.55832006625021,3.3482582855822,1,68,1,554,1379,Serpin domain-containing protein,GO:0004867; GO:0005615; GO:0010466 (491),GO:0004674; GO:0004867; GO:0005615; GO:0010466 (263)
OG0000018,4.19688208988989,-0.39812871927009,2,57,2,555,1380,Cuticle protein, putative,GO:0008010; GO:0062129 (578),GO:0042302 (170)
OG0000019,4.18039484909857,-0.894122095048288,3,57,3,556,1381,ABC transporter domain-containing protein,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (294),GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359 (291)
OG0000023,4.06787928036535,-0.546166748940806,2,57,3,29,1382,Cytochrome P450, putative,GO:0005506; GO:0020037; GO:0070330 (213),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (141)
OG0000025,-2.27998653956568,0.0735119867922267,4,90,4,78,1383,Organic cation transporter protein-like protein,GO:0016020; GO:0022857 (604),GO:0016020 (78)
OG0000026,5.45628984860265,-4.22057172769294,5,66,5,183,1384,Neurotransmitter-gated ion-channel-like protein,GO:0004888; GO:0005230; GO:0005254; GO:0005886 (140),GO:0004888; GO:0005254; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (137)
OG0000027,2.51940523675764,3.35188558584466,1,68,1,557,1385,Arylsulfatase B, putative,GO:0003943 (403),GO:0003943; GO:0016020 (188)
OG0000028,5.83518322399938,-0.238653631150583,2,29,6,12,1386,Transporter,GO:0015293; GO:0016020 (355),GO:0015187; GO:0015293; GO:0016020; GO:0035725 (127)
OG0000029,3.48797952226484,0.908871619761129,2,27,7,230,1387,Monocarboxylate transporter, putative,GO:0008028; GO:0016020 (414),GO:0016020 (186)
OG0000030,0.44503124646032,-2.43672296518073,6,7,8,97,1388,Excitatory amino acid transporter, putative,GO:0004970; GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (245),GO:0004970; GO:0045211 (205)
OG0000031,3.72218968561971,-0.649511785447458,2,57,3,126,1389,Nose resistant-to-fluoxetine protein N-terminal domain-containing protein,GO:0016020; GO:0016747 (564),GO:0016020 (74)
OG0000032,4.40196963242376,-5.15421888345466,5,81,9,31,1390,Aryl-alcohol oxidase, putative,GO:0016614; GO:0050660 (318),GO:0016491; GO:0016614; GO:0050660 (293)
OG0000034,2.14625521591985,3.58207824713006,1,58,10,558,1391,Acid methyltransferase, putative,GO:0004395; GO:0005739; GO:0006744; GO:0032259 (538),GO:0003824 (65)
OG0000036,2.48273237637365,3.40739467626824,7,68,1,559,1392,Nose resistant to fluoxetine protein 6-like,GO:0016020; GO:0016747 (575),GO:0016020 (11)
OG0000037,2.80310725263441,3.19427469259514,1,227,1,560,1393,THAP-type domain-containing protein,GO:0043565 (581),NA
OG0000039,2.65874000481451,3.3685698795916,8,227,1,147,1394,Tissue factor pathway inhibitor 2-like isoform X4,GO:0004867; GO:0010466; GO:0044562 (489),GO:0004867; GO:0005576; GO:0010466; GO:0030198; GO:0044562; GO:0090729 (34)
OG0000040,2.2459125726589,3.71468618398919,1,68,1,145,1395,Peptidase M12B domain-containing protein,GO:0004222; GO:0006508; GO:0046872 (470),GO:0004222; GO:0006509; GO:0046872 (91)
OG0000041,1.66030283860052,4.69625881201043,1,49,11,561,1396,Fatty acid synthase, putative,GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0031177; GO:0047117 (212),GO:0004315; GO:0006633 (128)
OG0000042,10.8555038779148,-3.52981588357673,3,68,1,562,1397,Phosphatidylinositol transfer protein SEC14, putative,GO:0004252; GO:1902936 (479),GO:1902936 (60)
OG0000043,2.17191048554266,0.780113070070883,2,102,12,34,1398,Lipase,GO:0006629; GO:0016788 (328),GO:0006629; GO:0016020; GO:0016788 (97)
OG0000044,5.12707146099889,-1.59830543512092,5,66,13,92,1399,Short-chain dehydrogenase-like protein,GO:0016491 (472),GO:0016020 (46)
OG0000045,-0.513247409545539,1.34699994212403,4,70,14,563,1400,Homeobox domain-containing protein,GO:0000981; GO:0003677; GO:0005634 (371),GO:0003677; GO:0005634 (57)
OG0000046,-3.54130760737574,-1.55706974977241,6,89,15,78,1401,Protein kinase C,GO:0004674; GO:0005524; GO:0006468 (156),GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (68)
OG0000047,12.1491177885898,-3.97888299936042,3,93,16,43,1402,Cytochrome P450, putative,GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (247),GO:0004497; GO:0005506; GO:0016705; GO:0020037 (128)
OG0000048,3.60239025048101,-0.304874510705332,2,57,17,20,1403,Peroxidase,GO:0004601; GO:0006979; GO:0020037; GO:0046872 (293),GO:0004601; GO:0006979; GO:0020037; GO:0046872; GO:0140825 (167)
OG0000049,4.3412762492069,-4.84517070764289,5,81,18,239,1404,Retinol dehydrogenase 11,GO:0016020 (399),GO:0016020; GO:0016630 (98)
OG0000050,2.77797777048433,0.0696943092943629,2,57,17,564,1405,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (315),GO:0006820; GO:0016020; GO:0022857 (80)
OG0000051,0.167837700165154,3.39967492109551,6,89,19,25,1406,Chitinase, putative,GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (438),GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0016020 (29)
OG0000052,-1.26971928187525,8.03442075735344,1,8,20,238,504,None,None,NA
OG0000053,4.02560254029119,-0.778550119340281,2,144,21,29,1407,Hexosyltransferase,GO:0000139; GO:0006493; GO:0016020; GO:0016758 (321),GO:0000139; GO:0006486; GO:0016758 (110)
OG0000055,1.71817716053808,4.54967453962578,1,8,1,122,1408,Putative serine carboxypeptidase CPVL-like protein,GO:0004185; GO:0006508 (447),GO:0004185; GO:0006508; GO:0016020 (15)
OG0000056,0.572609743393304,4.70726206785454,1,8,22,76,535,Tc1-like transposase DDE domain-containing protein,GO:0003676 (462),NA
OG0000057,2.48412372759664,6.6779406357409,9,4,20,308,295,None,None,NA
OG0000058,2.45760556153143,3.46238472944512,1,68,1,565,1409,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0004867; GO:0010466 (405),GO:0004867; GO:0010466; GO:0016020 (52)
OG0000059,1.24745448521459,-3.26763174051032,6,10,23,566,1410,Ig-like domain-containing protein,GO:0016020 (456),NA
OG0000060,3.63204916409338,0.776010065138479,2,191,7,271,1411,Slit1 protein-like,None,NA
OG0000061,1.5733296482929,4.10170224195733,2,1,24,567,1412,None,None,NA
OG0000062,0.544899305618646,-3.21372863763557,10,57,25,31,1413,Sodium-coupled monocarboxylate transporter 1,GO:0016020; GO:0022857 (410),GO:0005840; GO:0016020; GO:0022857; GO:1990904 (31)
OG0000063,2.97584192297542,0.60224935299172,2,46,26,289,1414,Kinesin-like protein,GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (142),GO:0003777; GO:0005524; GO:0007018; GO:0008017; GO:0015630 (126)
OG0000064,4.50532408646429,-0.772328944146494,4,70,14,568,1415,Fork-head domain-containing protein,GO:0003700; GO:0005634; GO:0043565 (275),GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154 (42)
OG0000065,2.28242023876989,4.56610682493462,7,18,27,399,1416,None,None,NA
OG0000067,5.02193721226537,-4.20743152612434,3,101,16,43,1417,Cadherin domain-containing protein,GO:0005509; GO:0005886; GO:0007156 (229),GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0098609 (63)
OG0000068,1.6221098511585,4.30800965315117,1,8,1,122,1418,Ionotropic glutamate receptor C-terminal domain-containing protein,GO:0015276; GO:0016020 (244),GO:0004970; GO:0005886 (109)
OG0000069,0.923847278869988,-2.39197465890632,6,89,28,20,1419,Heat shock protein, putative,GO:0005524; GO:0140662 (95),GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (94)
OG0000070,4.03257008484686,-3.94147893899665,8,61,29,177,1420,glutathione transferase,GO:0004364 (395),GO:0004364; GO:0042802 (18)
OG0000071,2.80195715121114,-0.526652069032053,2,29,30,68,1421,Histone-lysine N-methyltransferase SETMAR,GO:0003676; GO:0008168; GO:0032259 (409),GO:0003676 (3)
OG0000073,1.07667549542272,0.582541464626928,2,102,26,34,1422,Dehydrogenase, putative,GO:0004745; GO:0008202; GO:0016020; GO:0016491; GO:0043231 (175),GO:0016491 (130)
OG0000074,1.00699444702947,-1.17897006982551,6,89,31,178,1423,Myosin motor domain-containing protein,GO:0000146; GO:0005524; GO:0005737; GO:0005886; GO:0005902; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (86),GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (68)
OG0000075,4.72578319004858,-1.01516386979804,4,285,14,569,1424,G-protein coupled receptors family 1 profile domain-containing protein,GO:0004715; GO:0004993; GO:0007187; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0045202 (98),GO:0004930; GO:0016020 (92)
OG0000077,4.8799485772022,-5.28884288781867,5,66,13,206,1425,ABC transporter, putative,GO:0005524; GO:0005886; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (165),GO:0005524; GO:0016020; GO:0016887; GO:0140359 (141)
OG0000078,2.88915064028585,-2.35794112199531,6,28,32,221,1426,Glutathione S-transferase 1: isoform D-like protein,GO:0016740 (359),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (38)
OG0000079,-5.20472113200342,2.29036930090203,11,8,10,20,1427,Pogo transposable element with KRAB domain-like protein,None,NA
OG0000080,3.43143870524252,2.70329394823327,7,8,1,265,1428,Beta-ketoacyl-ACP reductase, putative,GO:0004316 (274),GO:0016491 (86)
OG0000081,-2.50132910319483,-2.97450897210823,12,90,33,78,1429,Polypeptide N-acetylgalactosaminyltransferase,GO:0000139; GO:0006486; GO:0016757; GO:0030246 (149),GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246 (131)
OG0000082,-1.86699692317164,11.102206020415,13,284,34,553,1378,Endonuclease/exonuclease/phosphatase domain-containing protein,GO:0003824 (389),NA
OG0000083,2.95753936684811,2.0698228169085,8,61,35,297,1430,Guanylate cyclase,GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556 (50),GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0016020; GO:0035556 (45)
OG0000084,4.25193317822302,-5.34506723397956,5,81,36,231,1431,Caspase family p20 domain-containing protein,GO:0004197; GO:0006508; GO:0016020; GO:0022857 (159),GO:0008643; GO:0016020 (92)
OG0000085,12.4051955550083,-3.67783329004035,3,100,37,570,1432,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0005886; GO:0007155; GO:0007411 (303),GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (77)
OG0000086,-4.1389414460293,3.31758597379937,14,90,23,571,1433,Neuronal acetylcholine receptor subunit alpha-7-like,GO:0004888; GO:0022848; GO:0045211 (202),GO:0004888; GO:0022848; GO:0043005; GO:0045202; GO:0045211 (96)
OG0000087,11.3699534743198,-3.55665847772346,3,89,38,20,1434,Solute carrier organic anion transporter family member,GO:0005886; GO:0006811; GO:0055085 (154),GO:0005886; GO:0006811; GO:0015347; GO:0043252 (99)
OG0000089,2.85306901327455,-1.07012125962959,15,9,39,12,1435,Sulfatase N-terminal domain-containing protein,GO:0016020 (371),NA
OG0000091,2.73246525815809,1.75808104759469,3,93,40,33,1436,EGF-like domain-containing protein,GO:0006897; GO:0016020 (135),GO:0005509; GO:0006897; GO:0016020 (127)
OG0000092,5.56780656269872,-1.41064664834724,15,51,41,435,1437,Der-p2-like allergen,GO:0015918; GO:0032934 (290),GO:0005576; GO:0015918; GO:0032367; GO:0032934 (51)
OG0000093,0.346093973434808,-0.396512122094492,10,7,42,115,1438,Pyruvate phosphate dikinase AMP/ATP-binding domain-containing protein,GO:0005524; GO:0016301; GO:0016310 (167),GO:0016310; GO:0016772 (142)
OG0000094,5.30223067692602,-0.857517094552378,15,45,41,344,1439,Tyrosine-protein kinase,GO:0002009; GO:0004715; GO:0005524; GO:0006468; GO:0009887; GO:0048468; GO:0065008 (93),GO:0002009; GO:0004715; GO:0005524; GO:0005576; GO:0005886; GO:0006468; GO:0006887; GO:0044218; GO:0044231; GO:0065008; GO:0090729 (55)
OG0000095,11.4431022017368,-3.94725152963386,3,113,43,41,1440,Cuticle protein 16.8-like,GO:0042302 (353),NA
OG0000096,4.10930319718206,-0.557919115960459,2,144,44,9,1441,Transcription factor, putative,GO:0003700; GO:0005634; GO:0007423; GO:0045944; GO:0046983; GO:0048663; GO:0061564; GO:0070888 (250),GO:0046983 (75)
OG0000097,1.06686230591619,-3.50758954995857,10,2,23,168,1442,Fucosyltransferase,GO:0006486; GO:0008417; GO:0032580; GO:0036065 (135),GO:0006486; GO:0017060; GO:0032580; GO:0036065; GO:0046920 (102)
OG0000098,0.171791633880975,5.68841531759514,1,8,45,1,1443,None,None,NA
OG0000099,0.539330324447991,-0.93411025518165,6,7,42,190,1444,Innexin,GO:0005886; GO:0005921; GO:0006811 (179),GO:0005243; GO:0005886; GO:0005921; GO:0006811; GO:0007602 (116)
OG0000100,5.51625379017675,-1.11308118814216,15,90,15,20,1445,dolichyl-phosphate-mannose--protein mannosyltransferase,GO:0004169; GO:0005783; GO:0016020 (239),GO:0000030; GO:0004169; GO:0005789; GO:0035269 (28)
